hh_id,region_name,region_id,latnum,longnum,sex_binary,age,eduyrs,hh_income,wt.by.ht,water_source,water_mins,hhid,hv001,hv006,hv007,hv009,hv012,hv014,hv021,hv023,hv024,hv025,hv040,hv201,hv204,hv205,hv206,hv207,hv208,hv209,hv213,hv214,hv215,hv221,hv225,hv235,hv270,hv104,hv105,hv106,hv107,hv108,hv109,hv111,hv113,hv121,hv124,region
1 34,manicaland,167,6.9022698,8.0971146,female,8,1,poorer,-0.22254563,river/dam/lake/ponds/stream/canal/irrigation channel,90,1 34,1,5,2013,8,8,2,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,90,pit latrine without slab/open pit,no,no,no,no,natural - earth / sand,finished - bricks,natural - thatch,no,yes,elsewhere,poorer,female,8,primary,0,0,incomplete primary,yes,yes,attended at some time,1,167
1 36,manicaland,167,6.9022698,8.0971146,female,8,3,poorer,1.472125769,river/dam/lake/ponds/stream/canal/irrigation channel,90,1 36,1,5,2013,7,7,1,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,90,pit latrine without slab/open pit,no,no,no,no,natural - earth / sand,finished - bricks,natural - thatch,no,no,elsewhere,poorer,female,8,primary,2,2,incomplete primary,yes,yes,attended at some time,3,167
1 47,manicaland,167,6.9022698,8.0971146,male,12,2,poorer,-0.790767342,river/dam/lake/ponds/stream/canal/irrigation channel,60,1 47,1,5,2013,6,6,0,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,60,pit latrine with slab,no,no,no,no,natural - earth / sand,natural - mud,finished - metal,no,no,elsewhere,poorer,male,12,primary,1,1,incomplete primary,yes,yes,attended at some time,2,167
1 45,manicaland,167,6.9022698,8.0971146,female,15,11,middle,1.244534102,river/dam/lake/ponds/stream/canal/irrigation channel,90,1 45,1,5,2013,10,10,1,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,90,pit latrine with slab,no,yes,no,no,finished - cement,natural - mud,finished - metal,no,no,elsewhere,middle,female,15,secondary,4,10,incomplete secondary,yes,yes,attended at some time,11,167
1 15,manicaland,167,6.9022698,8.0971146,male,8,2,poorer,-0.835406472,river/dam/lake/ponds/stream/canal/irrigation channel,20,1 15,1,5,2013,6,6,2,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,20,pit latrine without slab/open pit,no,no,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorer,male,8,primary,1,1,incomplete primary,yes,yes,attended at some time,2,167
1 17,manicaland,167,6.9022698,8.0971146,male,9,2,poorest,-1.068906689,river/dam/lake/ponds/stream/canal/irrigation channel,120,1 17,1,5,2013,13,13,5,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,120,pit latrine without slab/open pit,no,yes,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorest,male,9,primary,1,1,incomplete primary,yes,yes,attended at some time,2,167
1 11,manicaland,167,6.9022698,8.0971146,female,8,3,poorer,-0.866594213,unprotected spring,60,1 11,1,5,2013,9,9,1,1,35,manicaland,rural,81,unprotected spring,60,pit latrine without slab/open pit,no,no,no,no,natural - earth / sand,rudimentary - stone with mud,natural - thatch,no,no,elsewhere,poorer,female,8,primary,2,2,incomplete primary,yes,yes,attended at some time,3,167
1 85,manicaland,167,6.9022698,8.0971146,male,10,2,poorer,0.075508151,river/dam/lake/ponds/stream/canal/irrigation channel,30,1 85,1,5,2013,8,8,1,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,30,pit latrine with slab,no,no,no,no,finished - carpet,natural - mud,finished - metal,no,yes,elsewhere,poorer,male,10,primary,1,1,incomplete primary,yes,yes,attended at some time,2,167
1 43,manicaland,167,6.9022698,8.0971146,female,14,1,poorer,0.226232091,river/dam/lake/ponds/stream/canal/irrigation channel,10,1 43,1,5,2013,5,5,0,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,10,pit latrine with slab,no,yes,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorer,female,14,primary,0,0,incomplete primary,yes,yes,attended at some time,1,167
1 11,manicaland,167,6.9022698,8.0971146,male,7,5,poorer,0.852693144,unprotected spring,60,1 11,1,5,2013,9,9,1,1,35,manicaland,rural,81,unprotected spring,60,pit latrine without slab/open pit,no,no,no,no,natural - earth / sand,rudimentary - stone with mud,natural - thatch,no,no,elsewhere,poorer,male,7,primary,4,4,incomplete primary,yes,yes,attended at some time,5,167
